"","smp_id","ow_suffix","event_uid","gage_uid","eventduration_hr","eventpeakintensity_inhr","eventavgintensity_inhr","eventdepth_in","eventdatastart_est","eventdataend_est","peak_level_ft","overtop","draindown_hr","rpsu"
"155","411-1-1","CS1",231,7,3.25,0.68,0.1631,0.53,"2023-07-21 07:30:00","2023-07-21 10:30:00",0.279,"FALSE",-810,0.6216
"156","411-1-1","CS1",232,7,3.75,1.4,0.1573,0.59,"2023-07-25 17:00:00","2023-07-25 20:30:00",0.2888,"FALSE",-810,0
"157","411-1-1","CS1",233,7,3.75,0.52,0.0853,0.32,"2023-07-29 00:45:00","2023-07-29 04:15:00",0.2062,"FALSE",-810,0
"158","411-1-1","CS1",234,7,4.25,0.48,0.0988,0.42,"2023-08-07 03:30:00","2023-08-07 07:30:00",0.4104,"FALSE",-810,0
"159","411-1-1","CS1",235,7,2.75,1.08,0.2218,0.61,"2023-08-07 22:00:00","2023-08-08 00:30:00",0.2426,"FALSE",-810,0
"160","411-1-1","CS1",236,7,5.75,1.72,0.2157,1.24,"2023-08-10 16:00:00","2023-08-10 21:30:00",1.6535,"FALSE",4,39.0991
"161","411-1-1","CS1",237,7,1.25,0.56,0.192,0.24,"2023-08-15 22:15:00","2023-08-15 23:15:00",0.1345,"FALSE",-810,1.4183
"162","411-1-1","CS1",238,7,0.75,0.48,0.2133,0.16,"2023-08-16 08:00:00","2023-08-16 08:30:00",0.1345,"FALSE",-810,0
"163","411-1-1","CS1",239,7,4.25,0.28,0.0235,0.1,"2023-08-18 05:45:00","2023-08-18 09:45:00",0.1359,"FALSE",-810,0
"164","411-1-1","CS1",240,7,1.5,0.32,0.0933,0.14,"2023-08-27 23:30:00","2023-08-28 00:45:00",0.256,"FALSE",-810,0
"165","411-1-1","CS1",241,7,0.5,0.28,0.22,0.11,"2023-08-30 11:30:00","2023-08-30 11:45:00",0.2198,"FALSE",-810,0
"166","411-1-1","CS1",242,7,1.75,0.44,0.1371,0.24,"2023-09-09 19:15:00","2023-09-09 20:45:00",0.6797,"FALSE",0.25,9.5323
"167","411-1-1","CS1",243,7,3,0.28,0.1333,0.4,"2023-09-10 10:45:00","2023-09-10 13:30:00",0.9941,"FALSE",4.5,17.0699
"168","411-1-1","CS1",244,7,13,2.88,0.1869,2.43,"2023-09-10 20:00:00","2023-09-11 08:45:00",0.9941,"FALSE",4.5,17.1274
"169","411-1-1","CS1",245,7,6.75,0.4,0.0341,0.23,"2023-09-13 06:00:00","2023-09-13 12:30:00",0.2249,"FALSE",-810,0
